fwhm_etoile,uncertainty_etoile,fwhm_psf,uncertainty_psf,ratio,résolue
2,0.3452298849598449,2,0.37416573867739417,1.0,False
3,0.408248290463863,2,0.37416573867739417,1.5,True
2,0.3681171064778607,2,0.40693979898751614,1.0,False
2,0.37416573867739417,2,0.37416573867739417,1.0,False
